postcode sector,households,number of postcode units
AL1  1,2546,311
AL1  2,2642,236
AL1  3,2272,388
AL1  4,3707,339
AL1  5,4406,347
AL10 0,4404,334
AL10 8,4181,338
AL10 9,4662,361
AL2  1,3906,330
AL2  2,2597,285
AL2  3,3320,364
AL3  4,2416,275
AL3  5,3555,330
AL3  6,1645,214
AL3  7,2274,245
AL3  8,1919,238
AL4  0,3566,395
AL4  8,2670,281
AL4  9,4820,381
AL5  1,2459,273
AL5  2,1913,326
AL5  3,1678,189
AL5  4,2588,342
AL5  5,3255,286
AL6  0,2596,340
AL6  9,2112,316
AL7  1,2523,357
AL7  2,3404,222
AL7  3,4186,315
AL7  4,4624,303
AL8  6,2760,326
AL8  7,3014,273
AL9  5,970,197
AL9  6,583,142
AL9  7,2902,275
B1   1,2439,273
B1   2,1623,240
B1   3,643,203
B10  0,2608,236
B10  9,4674,221
B11  1,3329,265
B11  2,1156,203
B11  3,5650,250
B11  4,3086,213
B12  0,1909,273
B12  8,2572,253
B12  9,2433,223
B13  0,5438,271
B13  8,3664,225
B13  9,6644,372
B14  4,5333,257
B14  5,4984,268
B14  6,5117,244
B14  7,3377,264
B15  1,1201,243
B15  2,3376,324
B15  3,2063,274
B16  0,3672,235
B16  8,3762,338
B16  9,3445,237
B17  0,4271,265
B17  8,3558,261
B17  9,3601,271
B18  4,2146,183
B18  5,2108,214
B18  6,1107,214
B18  7,1117,133
B19  1,2687,200
B19  2,2656,239
B19  3,1347,243
B2   4,357,250
B2   5,146,211
B20  1,2830,179
B20  2,3881,276
B20  3,4731,296
B21  0,3538,243
B21  8,3354,160
B21  9,3445,235
B23  5,6940,375
B23  6,5296,310
B23  7,7030,344
B24  0,4682,274
B24  8,3113,219
B24  9,4591,269
B25  8,6148,340
B26  1,4602,198
B26  2,4728,244
B26  3,4605,303
B27  6,4032,253
B27  7,6173,290
B28  0,5605,334
B28  8,2712,209
B28  9,2963,209
B29  4,2778,192
B29  5,4282,247
B29  6,4496,344
B29  7,4021,239
B3   1,1686,262
B3   2,98,249
B30  1,4569,274
B30  2,5087,296
B30  3,3367,218
B31  1,4992,271
B31  2,5370,352
B31  3,4967,278
B31  4,4532,262
B31  5,3853,204
B32  1,3989,219
B32  2,5233,280
B32  3,5214,280
B32  4,2315,137
B33  0,4729,312
B33  8,4655,262
B33  9,4744,263
B34  6,4717,207
B34  7,3655,177
B35  6,1973,173
B35  7,2326,197
B36  0,5396,250
B36  8,4589,257
B36  9,4054,210
B37  5,4461,240
B37  6,5139,248
B37  7,5949,372
B38  0,811,71
B38  8,4015,260
B38  9,4383,261
B4   6,200,245
B4   7,452,222
B42  1,4335,267
B42  2,5301,293
B43  5,4686,220
B43  6,2827,202
B43  7,4604,247
B44  0,6109,278
B44  8,4258,259
B44  9,5003,258
B45  0,3182,141
B45  8,4517,347
B45  9,5376,337
B46  1,3208,273
B46  2,921,192
