postcode,sector,easting,northing,localAuthority,altitude,soilType,riskLabel,medianPrice
PO7 8PR,PO7 8,469395.0,108803.0,Havant,30,Planosols,1,233500.0
SO17 1NS,SO17 1,442771.0,114321.0,Southampton,20,Unsurveyed/Urban,1,291800.0
TN28 8XN,TN28 8,606861.0,124689.0,Folkestone and Hythe,10,Cambisols,1,326500.0
KT3 4JW,KT3 4,521649.0,168848.0,Kingston upon Thames,20,Unsurveyed/Urban,1,875200.0
CT2 8AA,CT2 8,614532.0,158074.0,Canterbury,10,Unsurveyed/Urban,10,303500.0
HP6 5DP,HP6 5,496752.0,198227.0,Buckinghamshire,150,Unsurveyed/Urban,1,757700.0
SW1X 0BJ,SW1X 0,527884.0,179011.0,Kensington and Chelsea,10,Unsurveyed/Urban,1,3089000.0
W9 3QP,W9 3,524945.0,182135.0,Westminster,30,Unsurveyed/Urban,1,667900.0
CT2 7ED,CT2 7,614611.0,158198.0,Canterbury,10,Unsurveyed/Urban,1,281700.0
N15 6BB,N15 6,534210.0,188365.0,Haringey,10,Unsurveyed/Urban,1,782300.0
RH16 2BT,RH16 2,534288.0,125622.0,Mid Sussex,50,Unsurveyed/Urban,1,581100.0
RG20 8XF,RG20 8,447836.0,173184.0,West Berkshire,110,Planosols,1,218600.0
GU27 3QT,GU27 3,487467.0,132502.0,Chichester,120,Podzols,1,288300.0
OX10 8NL,OX10 8,459875.0,188939.0,South Oxfordshire,50,Luvisols,1,409200.0
E10 5HJ,E10 5,537321.0,186868.0,Waltham Forest,10,Unsurveyed/Urban,1,283700.0
SE15 2TP,SE15 2,534773.0,176578.0,Southwark,10,Unsurveyed/Urban,1,514900.0
E14 3AT,E14 3,537810.0,178448.0,Tower Hamlets,10,Unsurveyed/Urban,4,523500.0
KT13 8LR,KT13 8,507554.0,165664.0,Elmbridge,10,Leptosols,8,629000.0
SM1 1EL,SM1 1,525857.0,164189.0,Sutton,50,Unsurveyed/Urban,1,544200.0
SE28 8QY,SE28 8,547887.0,181169.0,Bexley,0,Unsurveyed/Urban,4,388500.0
RH20 4BB,RH20 4,511983.0,110894.0,Horsham,90,Leptosols,1,539500.0
PO22 6BP,PO22 6,496554.0,100296.0,Arun,0,Unsurveyed/Urban,1,354100.0
HA3 9QR,HA3 9,518914.0,188969.0,Harrow,50,Unsurveyed/Urban,1,401400.0
BN14 9DA,BN14 9,514569.0,104495.0,Worthing,10,Unsurveyed/Urban,1,440900.0
PO10 8AN,PO10 8,475699.0,105850.0,Chichester,40,Gleysols,1,244000.0
HA8 8FP,HA8 8,518631.0,192739.0,Barnet,70,Cambisols,1,626500.0
SW13 9NT,SW13 9,521924.0,177008.0,Richmond upon Thames,10,Unsurveyed/Urban,4,3358800.0
RM1 4QU,RM1 4,550575.0,189937.0,Havering,20,Unsurveyed/Urban,1,216200.0
ME12 3TJ,ME12 3,594208.0,171913.0,Swale,10,Stagnosols,1,43880100.0
N15 4LF,N15 4,533348.0,189428.0,Haringey,20,Unsurveyed/Urban,1,548100.0
OX13 6HW,OX13 6,448266.0,199293.0,Vale of White Horse,70,Leptosols,1,547100.0
KT8 1RB,KT8 1,513037.0,168393.0,Elmbridge,10,Unsurveyed/Urban,6,429800.0
TN9 2AT,TN9 2,559105.0,145546.0,Tonbridge and Malling,40,Unsurveyed/Urban,1,265700.0
TW15 3DB,TW15 3,505811.0,172322.0,Spelthorne,20,Unsurveyed/Urban,1,517200.0
N12 0HL,N12 0,525921.0,191480.0,Barnet,90,Unsurveyed/Urban,1,480400.0
BN21 4QH,BN21 4,561193.0,98853.0,Eastbourne,10,Unsurveyed/Urban,1,331700.0
TW9 1SA,TW9 1,518104.0,174832.0,Richmond upon Thames,20,Unsurveyed/Urban,1,1869800.0
SO14 5AD,SO14 5,443194.0,112400.0,Southampton,0,Unsurveyed/Urban,10,184200.0
TW1 3BB,TW1 3,516898.0,173785.0,Richmond upon Thames,10,Unsurveyed/Urban,1,679100.0
BR1 2EP,BR1 2,542404.0,167870.0,Bromley,60,Unsurveyed/Urban,1,796800.0
GU10 5EE,GU10 5,481646.0,146157.0,Waverley,110,Luvisols,1,1140300.0
TN8 6QG,TN8 6,541020.0,148267.0,Tandridge,80,Planosols,1,546600.0
CT11 8EL,CT11 8,638716.0,165540.0,Thanet,30,Unsurveyed/Urban,1,244200.0
N17 7PZ,N17 7,532332.0,190654.0,Haringey,20,Unsurveyed/Urban,1,416300.0
N17 0JQ,N17 0,533993.0,191031.0,Haringey,10,Unsurveyed/Urban,1,560900.0
BN14 9HJ,BN14 9,515022.0,104543.0,Worthing,10,Unsurveyed/Urban,1,225800.0
W13 9NS,W13 9,517015.0,180390.0,Ealing,30,Unsurveyed/Urban,1,568200.0
NW6 6HH,NW6 6,523800.0,182980.0,Brent,40,Unsurveyed/Urban,1,1297700.0
CT12 6BP,CT12 6,636997.0,166465.0,Thanet,40,Unsurveyed/Urban,1,149600.0
GU21 2RL,GU21 2,495905.0,158031.0,Woking,50,Unsurveyed/Urban,1,454800.0
TW17 0LY,TW17 0,507068.0,168638.0,Spelthorne,20,Unsurveyed/Urban,1,398400.0
E3 5RP,E3 5,536129.0,182960.0,Tower Hamlets,20,Unsurveyed/Urban,1,566400.0
CT1 2JX,CT1 2,615031.0,157734.0,Canterbury,10,Unsurveyed/Urban,1,461200.0
OX14 2EE,OX14 2,450277.0,198076.0,Vale of White Horse,60,Unsurveyed/Urban,1,397100.0
TW18 2HQ,TW18 2,503960.0,169806.0,Spelthorne,20,Mixed,8,488700.0
SN6 7PR,SN6 7,423609.0,193768.0,Vale of White Horse,110,Luvisols,1,331300.0
GU46 6YD,GU46 6,481341.0,159881.0,Hart,90,Unsurveyed/Urban,1,582600.0
TN40 2LY,TN40 2,575135.0,108389.0,Rother,40,Unsurveyed/Urban,1,174000.0
SE19 3DF,SE19 3,533012.0,169467.0,Croydon,90,Unsurveyed/Urban,1,438300.0
SS8 7ES,SS8 7,580633.0,183077.0,Castle Point,0,Unsurveyed/Urban,4,281200.0
GU9 8LJ,GU9 8,484120.0,145941.0,Waverley,90,Unsurveyed/Urban,1,744700.0
SP11 0JX,SP11 0,434357.0,156490.0,Test Valley,130,Leptosols,8,994100.0
SW10 9NR,SW10 9,526361.0,177941.0,Kensington and Chelsea,10,Unsurveyed/Urban,1,2757500.0
E4 9DB,E4 9,537575.0,192150.0,Waltham Forest,20,Unsurveyed/Urban,1,435900.0
W1G 9DW,W1G 9,528815.0,181582.0,Westminster,20,Unsurveyed/Urban,1,7222700.0
HP12 4RS,HP12 4,484037.0,192057.0,Buckinghamshire,160,Unsurveyed/Urban,1,358300.0
SS7 3QL,SS7 3,579309.0,188563.0,Castle Point,70,Unsurveyed/Urban,1,256100.0
GU21 5BZ,GU21 5,501188.0,159432.0,Woking,30,Unsurveyed/Urban,1,470900.0
RH19 3GH,RH19 3,539372.0,138171.0,Mid Sussex,120,Unsurveyed/Urban,1,400200.0
ME17 3RJ,ME17 3,579684.0,150167.0,Maidstone,110,Luvisols,1,581900.0
SE4 2FL,SE4 2,536242.0,175890.0,Lewisham,30,Unsurveyed/Urban,1,538700.0
HA0 2TE,HA0 2,516362.0,185411.0,Brent,60,Unsurveyed/Urban,1,595700.0
HP8 4AA,HP8 4,500353.0,195395.0,Buckinghamshire,110,Luvisols,1,1075400.0
TW13 5DU,TW13 5,511496.0,173012.0,Hounslow,20,Unsurveyed/Urban,1,362800.0
BN27 4LF,BN27 4,563636.0,112537.0,Wealden,50,Luvisols,1,395200.0
W1J 0QP,W1J 0,529180.0,180515.0,Westminster,20,Unsurveyed/Urban,1,225000.0
W1S 3PH,W1S 3,529158.0,180764.0,Westminster,20,Unsurveyed/Urban,1,26887200.0
PO22 7LS,PO22 7,495907.0,99845.0,Arun,0,Unsurveyed/Urban,1,557000.0
SW18 1PX,SW18 1,524873.0,174454.0,Wandsworth,20,Unsurveyed/Urban,1,505800.0
BN41 1PS,BN41 1,525061.0,105228.0,Adur,10,Unsurveyed/Urban,1,286800.0
RH6 9LL,RH6 9,529221.0,144424.0,Reigate and Banstead,60,Gleysols,8,476100.0
KT22 7TA,KT22 7,516313.0,157159.0,Mole Valley,50,Unsurveyed/Urban,1,472700.0
TW7 4EW,TW7 4,515096.0,176245.0,Hounslow,20,Unsurveyed/Urban,1,538300.0
E14 3JD,E14 3,538312.0,179405.0,Tower Hamlets,10,Unsurveyed/Urban,4,458800.0
SW9 9DY,SW9 9,530307.0,176093.0,Lambeth,10,Unsurveyed/Urban,1,1983200.0
PO17 5DT,PO17 5,455958.0,109417.0,Winchester,40,Luvisols,1,180500.0
GU3 1DS,GU3 1,494792.0,146781.0,Guildford,110,Luvisols,1,753300.0
GU31 4SS,GU31 4,475065.0,124180.0,East Hampshire,70,Luvisols,1,517500.0
TW15 2BU,TW15 2,507609.0,171069.0,Spelthorne,20,Unsurveyed/Urban,1,421400.0
CT11 7NB,CT11 7,638194.0,165546.0,Thanet,20,Unsurveyed/Urban,1,203200.0
RH11 8YA,RH11 8,526412.0,136026.0,Crawley,90,Unsurveyed/Urban,1,289500.0
RG42 4BG,RG42 4,484492.0,169776.0,Bracknell Forest,80,Luvisols,1,450500.0
E14 7BD,E14 7,537245.0,181654.0,Tower Hamlets,10,Unsurveyed/Urban,1,517200.0
SE18 3QL,SE18 3,543748.0,177619.0,Greenwich,60,Unsurveyed/Urban,1,460400.0
HA8 9PF,HA8 9,520381.0,192284.0,Barnet,70,Unsurveyed/Urban,1,544700.0
RG27 8HW,RG27 8,475794.0,156085.0,Hart,70,Luvisols,1,857000.0
TN30 7JP,TN30 7,594045.0,127824.0,Ashford,10,Planosols,1,630100.0
RM8 1SP,RM8 1,547817.0,187465.0,Barking and Dagenham,20,Unsurveyed/Urban,1,336000.0
BN16 2NA,BN16 2,504078.0,101536.0,Arun,0,Unsurveyed/Urban,1,489600.0
BN16 1AB,BN16 1,506865.0,103090.0,Arun,10,Unsurveyed/Urban,1,293500.0
PO6 1TW,PO6 1,466863.0,104647.0,Portsmouth,0,Unsurveyed/Urban,1,376600.0
TW18 3LH,TW18 3,503406.0,169628.0,Runnymede,20,Unsurveyed/Urban,10,237400.0
GU14 7TJ,GU14 7,486865.0,155767.0,Rushmoor,70,Unsurveyed/Urban,1,201100.0
SW15 5QN,SW15 5,522328.0,175334.0,Wandsworth,10,Unsurveyed/Urban,1,1690100.0
TN24 8AR,TN24 8,601229.0,142520.0,Ashford,40,Unsurveyed/Urban,1,416100.0
RM6 6DW,RM6 6,548650.0,188154.0,Barking and Dagenham,20,Cambisols,1,315600.0
SW4 7XS,SW4 7,529383.0,175459.0,Lambeth,20,Unsurveyed/Urban,1,573000.0
BN2 7BD,BN2 7,535863.0,103819.0,Brighton and Hove,60,Unsurveyed/Urban,1,442100.0
