postcode,sector,easting,northing,localAuthority,altitude,soilType
BN1 5PF,BN1 5,530401.0,105619.0,Brighton and Hove,60,Unsurveyed/Urban
BN7 2HP,BN7 2,541934.0,110957.0,Lewes,10,Unsurveyed/Urban
TN6 3AW,TN6 3,552132.0,129270.0,Wealden,160,Unsurveyed/Urban
BN3 7LP,BN3 7,527448.0,106738.0,Brighton and Hove,60,Unsurveyed/Urban
DA16 2DU,DA16 2,546021.0,175403.0,Bexley,60,Unsurveyed/Urban
RM13 8LA,RM13 8,551634.0,182733.0,Havering,10,Unsurveyed/Urban
SO32 1GJ,SO32 1,455339.0,117403.0,Winchester,40,Stagnosols
OX11 9PN,OX11 9,453505.0,185606.0,Vale of White Horse,70,Cambisols
PO9 1EY,PO9 1,471810.0,106241.0,Havant,10,Unsurveyed/Urban
KT1 3JH,KT1 3,519072.0,169198.0,Kingston upon Thames,10,Unsurveyed/Urban
BN25 1RR,BN25 1,548487.0,99225.0,Lewes,20,Unsurveyed/Urban
KT17 4DG,KT17 4,521931.0,160661.0,Epsom and Ewell,70,Unsurveyed/Urban
TN6 2XA,TN6 2,553047.0,131752.0,Wealden,160,Luvisols
BR3 4SF,BR3 4,535561.0,169261.0,Bromley,40,Unsurveyed/Urban
W1S 2XS,W1S 2,528991.0,180866.0,Westminster,20,Unsurveyed/Urban
BN16 2HL,BN16 2,505354.0,101766.0,Arun,10,Unsurveyed/Urban
E4 6FA,E4 6,538442.0,193441.0,Waltham Forest,50,Unsurveyed/Urban
RG29 1JJ,RG29 1,474740.0,152437.0,Hart,70,Planosols
PO5 2UB,PO5 2,464340.0,100350.0,Portsmouth,10,Unsurveyed/Urban
ME1 3SJ,ME1 3,572786.0,162059.0,Tonbridge and Malling,40,Cambisols
W1W 8QX,W1W 8,529080.0,181427.0,Westminster,20,Unsurveyed/Urban
BR8 7BP,BR8 7,551556.0,169186.0,Sevenoaks,70,Unsurveyed/Urban
RG14 6BW,RG14 6,445867.0,166518.0,West Berkshire,80,Luvisols
PO10 7JT,PO10 7,474037.0,105625.0,Havant,10,Unsurveyed/Urban
SO15 5BX,SO15 5,440941.0,113258.0,Southampton,20,Unsurveyed/Urban
RG21 7SY,RG21 7,463870.0,152442.0,Basingstoke and Deane,80,Unsurveyed/Urban
DA14 4DW,DA14 4,546509.0,172293.0,Bexley,40,Unsurveyed/Urban
BH25 5GY,BH25 5,425353.0,96049.0,New Forest,40,Cambisols
MK17 0BG,MK17 0,484955.0,231322.0,Buckinghamshire,100,Cambisols
E3 3TT,E3 3,538486.0,181894.0,Newham,0,Unsurveyed/Urban
PO19 7WX,PO19 7,487138.0,104970.0,Chichester,20,Unsurveyed/Urban
SO41 0PZ,SO41 0,429323.0,91433.0,New Forest,10,Luvisols
SE6 3LE,SE6 3,537628.0,172433.0,Lewisham,20,Unsurveyed/Urban
GU29 9RT,GU29 9,488997.0,122198.0,Chichester,20,Luvisols
GU7 2RU,GU7 2,494916.0,146372.0,Guildford,110,Luvisols
SW1W 9AH,SW1W 9,528439.0,178624.0,Westminster,10,Unsurveyed/Urban
SO19 8PA,SO19 8,445417.0,112172.0,Southampton,40,Unsurveyed/Urban
BN20 7AH,BN20 7,560957.0,98015.0,Eastbourne,20,Unsurveyed/Urban
SO50 4LE,SO50 4,445668.0,120451.0,Eastleigh,20,Unsurveyed/Urban
SO23 7AX,SO23 7,448071.0,130653.0,Winchester,60,Unsurveyed/Urban
SS12 9AG,SS12 9,575101.0,193055.0,Basildon,20,Stagnosols
SO41 9ND,SO41 9,432111.0,95417.0,New Forest,20,Unsurveyed/Urban
E11 2RQ,E11 2,540337.0,188334.0,Redbridge,30,Unsurveyed/Urban
SE22 8SU,SE22 8,533359.0,174611.0,Southwark,30,Unsurveyed/Urban
BH25 5WY,BH25 5,425628.0,96058.0,New Forest,30,Gleysols
N8 0SE,N8 0,531763.0,189153.0,Haringey,20,Unsurveyed/Urban
E10 6XU,E10 6,538105.0,187669.0,Waltham Forest,20,Unsurveyed/Urban
WC2B 5LH,WC2B 5,531073.0,182317.0,Islington,20,Unsurveyed/Urban
SE1 1GD,SE1 1,532505.0,180051.0,Southwark,10,Unsurveyed/Urban
SS15 6PP,SS15 6,567595.0,188759.0,Basildon,40,Unsurveyed/Urban
HP21 9AP,HP21 9,482444.0,212122.0,Buckinghamshire,90,Unsurveyed/Urban
PO12 3LR,PO12 3,459539.0,100364.0,Gosport,10,Unsurveyed/Urban
NW4 4SE,NW4 4,522211.0,189109.0,Barnet,60,Unsurveyed/Urban
E1 3HP,E1 3,535250.0,181728.0,Tower Hamlets,10,Unsurveyed/Urban
HA8 8GA,HA8 8,518455.0,192661.0,Barnet,70,Unsurveyed/Urban
IG11 0PP,IG11 0,546300.0,183222.0,Barking and Dagenham,0,Unsurveyed/Urban
SL5 7NB,SL5 7,491945.0,170409.0,Windsor and Maidenhead,70,Planosols
ME12 2QT,ME12 2,592820.0,174447.0,Swale,10,Unsurveyed/Urban
BN15 8RG,BN15 8,517869.0,103607.0,Adur,10,Unsurveyed/Urban
UB3 2LP,UB3 2,509684.0,180658.0,Hillingdon,40,Unsurveyed/Urban
SO18 5GU,SO18 5,446134.0,113757.0,Southampton,70,Unsurveyed/Urban
E3 3HR,E3 3,537758.0,182705.0,Tower Hamlets,10,Unsurveyed/Urban
TN14 5LF,TN14 5,551635.0,158997.0,Sevenoaks,80,Cambisols
CT9 5JA,CT9 5,633070.0,169868.0,Thanet,10,Unsurveyed/Urban
SE19 3NN,SE19 3,531958.0,170705.0,Croydon,90,Unsurveyed/Urban
TN25 4AD,TN25 4,600890.0,150752.0,Ashford,160,Luvisols
GU30 7RP,GU30 7,481922.0,134256.0,East Hampshire,90,Podzols
HP22 4QL,HP22 4,486504.0,219301.0,Buckinghamshire,130,Cambisols
W1W 7ST,W1W 7,529008.0,181466.0,Westminster,20,Unsurveyed/Urban
BN11 3LN,BN11 3,513817.0,102331.0,Worthing,10,Unsurveyed/Urban
BR1 1TS,BR1 1,540380.0,168960.0,Bromley,60,Unsurveyed/Urban
SE1 9TH,SE1 9,532932.0,179986.0,Southwark,10,Unsurveyed/Urban
SE12 0DB,SE12 0,540749.0,172432.0,Lewisham,40,Unsurveyed/Urban
TN11 9SP,TN11 9,563214.0,152909.0,Tonbridge and Malling,130,Luvisols
BN17 6HN,BN17 6,503091.0,102979.0,Arun,10,Unsurveyed/Urban
SW19 6TN,SW19 6,524053.0,173494.0,Wandsworth,50,Unsurveyed/Urban
BN41 1NN,BN41 1,526085.0,105771.0,Brighton and Hove,20,Unsurveyed/Urban
TN15 6LE,TN15 6,557702.0,163048.0,Sevenoaks,160,Luvisols
SS0 7FL,SS0 7,587459.0,186277.0,Southend-on-Sea,30,Unsurveyed/Urban
PO21 4TN,PO21 4,488990.0,97502.0,Arun,0,Cambisols
HP16 0SH,HP16 0,487726.0,200355.0,Buckinghamshire,190,Luvisols
SO53 3FJ,SO53 3,443507.0,119216.0,Eastleigh,30,Unsurveyed/Urban
HP13 5EL,HP13 5,485981.0,194334.0,Buckinghamshire,100,Unsurveyed/Urban
SE9 3DG,SE9 3,543253.0,171953.0,Greenwich,70,Unsurveyed/Urban
W3 8FE,W3 8,520055.0,179335.0,Ealing,10,Unsurveyed/Urban
E9 5PT,E9 5,536431.0,185605.0,Hackney,10,Unsurveyed/Urban
BR7 5LN,BR7 5,542254.0,169931.0,Bromley,80,Unsurveyed/Urban
SO23 8HS,SO23 8,447793.0,129466.0,Winchester,60,Unsurveyed/Urban
DA7 4HB,DA7 4,547849.0,175669.0,Bexley,50,Unsurveyed/Urban
KT3 5RE,KT3 5,521246.0,167442.0,Kingston upon Thames,20,Unsurveyed/Urban
SW15 5LQ,SW15 5,521407.0,175355.0,Wandsworth,10,Unsurveyed/Urban
HP19 9UU,HP19 9,480144.0,215282.0,Buckinghamshire,80,Cambisols
GU24 0JZ,GU24 0,495237.0,155932.0,Guildford,40,Podzols
RM17 5HB,RM17 5,561762.0,178270.0,Thurrock,10,Unsurveyed/Urban
SO45 1ZT,SO45 1,444299.0,101010.0,New Forest,20,Cambisols
UB10 0GD,UB10 0,506282.0,183543.0,Hillingdon,40,Unsurveyed/Urban
KT16 0HH,KT16 0,502496.0,163717.0,Runnymede,30,Luvisols
CT10 3HR,CT10 3,638315.0,169128.0,Thanet,40,Unsurveyed/Urban
OX12 9RN,OX12 9,438074.0,187955.0,Vale of White Horse,110,Mixed
UB7 8EB,UB7 8,507033.0,180188.0,Hillingdon,30,Unsurveyed/Urban
W1T 3PG,W1T 3,529326.0,181445.0,Westminster,20,Unsurveyed/Urban
