stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
000008,Rainfall station,53.480556,-1.441674,,,,
000028,Rainfall station,53.500289,-1.673575,,,,
000075TP,Rainfall station,51.084022,-0.214597,,,,
000076TP,Rainfall station,51.701508,-0.747539,,,,
000180TP,Rainfall station,51.618838,0.173236,,,,
000181TP,Rainfall station,51.730021,0.040992,,,,
000182TP,Rainfall station,51.885257,-0.156869,,,,
000900,Rainfall station,55.591879,-1.854785,,,,
000997,Rainfall station,55.58067,-1.645446,,,,
003066,Rainfall station,55.350136,-2.171067,,,,
003232,Rainfall station,55.312483,-1.909373,,,,
004942,Rainfall station,55.347002,-1.630189,,,,
005588,Rainfall station,55.174997,-1.521877,,,,
005782,Rainfall station,55.154354,-1.944254,,,,
006077,Rainfall station,55.207377,-2.040032,,,,
006403,Rainfall station,55.237908,-1.918977,,,,
007292,Rainfall station,55.033951,-1.969453,,,,
008062,Rainfall station,55.132825,-1.538065,,,,
008632,Rainfall station,55.047076,-1.446712,,,,
008850,Rainfall station,55.255608,-2.540374,,,,
010312,Rainfall station,55.143004,-2.375693,,,,
010660,Rainfall station,55.320859,-2.396284,,,,
013045,Rainfall station,54.742208,-2.378185,,,,
0130TH,Ewen,51.674733,-1.9904,0.9450000000000001,-0.9480000000000001,0.99,0
013336,Rainfall station,54.774946,-2.516845,,,,
013553,Rainfall station,54.820161,-2.445834,,,,
013878,Rainfall station,54.871077,-2.52275,,,,
0144TH,Somerford Keynes,51.650724,-1.973061,1.484,0.325,1.6,0.363
014555,Rainfall station,54.97002,-2.500603,,,,
015347,Rainfall station,54.804602,-2.221644,,,,
0155TH,Oaksey,51.632205,-2.007169,1.887,-0.242,1.311,0
016140,Rainfall station,54.960162,-2.160033,,,,
017220,Rainfall station,55.01952,-1.881881,,,,
017651,Rainfall station,55.000299,-1.68497,,,,
0184TH,Purton Stoke,51.61322,-1.87404,2.34,0.481,1.8900000000000001,0.504
018777,Rainfall station,54.860973,-1.670477,,,,
0190TH,Cricklade,51.646694,-1.865536,0.992,0.012,1.083,0.058
019271,Rainfall station,55.033344,-1.614307,,,,
021028,Rainfall station,54.938987,-1.393566,,,,
021228,Rainfall station,54.747962,-2.235316,,,,
022013,Callerton Lane,55.049407,-1.741713,2.24,-0.15,0.85,0
022163,Rainfall station,54.761631,-1.902834,,,,
022994,Rainfall station,54.624106,-1.870637,,,,
023164,Rainfall station,54.610418,-1.740626,,,,
023839,Rainfall station,54.829815,-1.807716,,,,
025394,Rainfall station,54.894495,-1.489343,,,,
025878,Rainfall station,54.823818,-1.36572,,,,
026090,Rainfall station,54.760776,-1.340287,,,,
0260TH,Cirencester,51.724451,-1.972293,1.048,-0.032,0.7000000000000001,0.078
026297,Rainfall station,54.701508,-1.198486,,,,
026644,Rainfall station,54.656189,-2.285935,,,,
026958,Rainfall station,54.683225,-2.252002,,,,
0278TH,South Cerney,51.673897,-1.934146,1.47,0.30000000000000004,1.31,0.34500000000000003
028185,Rainfall station,54.560368,-1.983723,,,,
028502,Rainfall station,54.504568,-2.141258,,,,
0290TH,Cerney Wick,51.665333,-1.891795,0.709,-0.093,0.6000000000000001,0.015
030377,Rainfall station,54.526112,-1.506309,,,,
0311TH,Rushey Platt,51.553565,-1.803214,2.188,0.72,1.69,0.735
031555,Rainfall station,54.469846,-1.099639,,,,
0319TH,Rodbourne,51.571821,-1.816698,2.463,-0.046,1.32,0.034
0323SO,Rainfall station,51.246536,0.022379,,,,
032822,Rainfall station,54.633845,-1.480219,,,,
033108NE,Rainfall station,54.543358,-1.201588,,,,
034091,Rainfall station,54.596104,-1.039588,,,,
034459,Rainfall station,54.518191,-0.964175,,,,
035024NE,Rainfall station,54.505434,-0.84558,,,,
0350TH,Rainham Main FD,51.500306,0.181352,,,,
035103,Rainfall station,54.541989,-0.815179,,,,
