dateTime,stationReference,parameter,qualifier,unitName,value
2021-05-07T00:00:00Z,000008,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000028,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000075TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000076TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0001,level,Tidal Level,mAOD,-0.551
2021-05-07T00:00:00Z,000180TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000181TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000182TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0003,level,Tidal Level,mAOD,-0.577
2021-05-07T00:00:00Z,0004,level,Tidal Level,mAOD,-0.568
2021-05-07T00:00:00Z,0006,level,Tidal Level,mAOD,-0.299
2021-05-07T00:00:00Z,0007,level,Tidal Level,mAOD,-0.502
2021-05-07T00:00:00Z,0008,level,Tidal Level,mAOD,-0.405
2021-05-07T00:00:00Z,000900,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,000997,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0018,level,Tidal Level,mAOD,-0.590
2021-05-07T00:00:00Z,0019,level,Tidal Level,mAOD,-0.490
2021-05-07T00:00:00Z,003066,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,003232,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,004942,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,005588,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,005782,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,006077,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,006403,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,007292,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,008062,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,008632,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,008850,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,010312,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,010660,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,013045,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0130TH,level,Stage,mASD,0.133
2021-05-07T00:00:00Z,013336,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,013553,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,013878,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0144TH,level,Stage,mASD,1.007
2021-05-07T00:00:00Z,014555,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,015347,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0155TH,level,Stage,mASD,0.098
2021-05-07T00:00:00Z,016140,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,017220,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,017651,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0184TH,level,Stage,mASD,0.594
2021-05-07T00:00:00Z,018777,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0190TH,level,Stage,mASD,0.246
2021-05-07T00:00:00Z,019271,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,021028,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,021228,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,021999,level,Tidal Level,mAOD,0.363
2021-05-07T00:00:00Z,022013,level,Stage,mASD,0.078
2021-05-07T00:00:00Z,022163,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,022994,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,022999,level,Tidal Level,mAOD,0.489
2021-05-07T00:00:00Z,023164,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,023839,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,025394,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,025878,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,026090,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0260TH,level,Stage,mASD,0.225
2021-05-07T00:00:00Z,026297,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,026644,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,026958,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0278TH,level,Stage,mASD,0.402
2021-05-07T00:00:00Z,028185,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,028502,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0290TH,level,Stage,mASD,0.217
2021-05-07T00:00:00Z,030377,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0311TH,level,Stage,mASD,0.827
2021-05-07T00:00:00Z,031555,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0319TH,level,Stage,mASD,0.389
2021-05-07T00:00:00Z,032822,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,033108NE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,034091,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,034459,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,035024NE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0350TH,level,Stage,mm,0
2021-05-07T00:00:00Z,035103,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,035302,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,035305,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,035488,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,036225,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,036487,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,036704,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,037239,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,037292,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,037973,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,038179,rainfall,Tipping Bucket Raingauge,mm,0.2
2021-05-07T00:00:00Z,038476,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0390TH,level,Stage,mASD,1.023
2021-05-07T00:00:00Z,039163,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,039268,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,040492,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,040752,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,041238,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,041917,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,043533,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,046222,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0470TH,level,Stage,mASD,0.215
2021-05-07T00:00:00Z,047281,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,047439,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0490TH,level,Stage,mASD,0.203
2021-05-07T00:00:00Z,049902,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0503SO,level,Stage,mASD,0.250
2021-05-07T00:00:00Z,051250,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,051729,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,052287,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,0530TH,level,Stage,mASD,0.176
2021-05-07T00:00:00Z,053532,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,054371,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,054507,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,054604,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-05-07T00:00:00Z,055002_TG_301,level,Stage,mASD,0.663
2021-05-07T00:00:00Z,055003_TG_316,level,Stage,mASD,0.609
2021-05-07T00:00:00Z,055013_TG_326,level,Stage,mASD,0.206
